               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.024462,            0.035947,                   0,             0.98296,              0.9671,             0.99101,             0.72946,            0.021743,            0.034876,                   0,           0.0003895,           0.0003895,           0.0003895
                  39,            0.024377,            0.036025,                   0,              0.9801,             0.96742,             0.99098,              0.7302,            0.021738,             0.03502,                   0,            0.000373,            0.000373,            0.000373
                  40,            0.024226,            0.035351,                   0,             0.97953,             0.96989,             0.99119,             0.72934,            0.021694,            0.034884,                   0,           0.0003565,           0.0003565,           0.0003565
                  41,            0.024399,            0.035692,                   0,             0.97822,              0.9678,             0.99116,              0.7314,             0.02162,            0.034807,                   0,             0.00034,             0.00034,             0.00034
                  42,            0.023957,             0.03513,                   0,             0.98031,             0.96788,             0.99097,             0.73219,            0.021663,            0.034769,                   0,           0.0003235,           0.0003235,           0.0003235
                  43,            0.024042,            0.035316,                   0,              0.9799,             0.96629,             0.99113,             0.73394,            0.021685,            0.034776,                   0,            0.000307,            0.000307,            0.000307
                  44,            0.024092,            0.035608,                   0,             0.98213,             0.96399,             0.99113,             0.73519,              0.0216,            0.034601,                   0,           0.0002905,           0.0002905,           0.0002905
                  45,            0.023877,            0.035125,                   0,             0.98049,             0.96736,             0.99156,             0.73463,            0.021523,            0.034616,                   0,            0.000274,            0.000274,            0.000274
                  46,            0.023771,            0.034738,                   0,             0.97972,             0.96799,             0.99132,             0.73544,            0.021513,             0.03453,                   0,           0.0002575,           0.0002575,           0.0002575
                  47,            0.023735,            0.034942,                   0,             0.98022,             0.96742,             0.99132,             0.73646,            0.021407,            0.034454,                   0,            0.000241,            0.000241,            0.000241
                  48,            0.023742,            0.035137,                   0,             0.98218,             0.96649,             0.99105,             0.73816,            0.021384,            0.034433,                   0,           0.0002245,           0.0002245,           0.0002245
                  49,            0.023804,             0.03502,                   0,             0.98183,             0.96763,             0.99137,             0.73758,            0.021389,            0.034319,                   0,            0.000208,            0.000208,            0.000208
                  50,             0.02374,            0.035188,                   0,             0.98239,             0.96743,             0.99146,             0.73887,            0.021386,            0.034342,                   0,           0.0001915,           0.0001915,           0.0001915
                  51,            0.023713,            0.034873,                   0,             0.98204,             0.96665,             0.99143,             0.73976,            0.021381,             0.03427,                   0,            0.000175,            0.000175,            0.000175
                  52,            0.023477,            0.034886,                   0,             0.98061,             0.96665,             0.99151,             0.73986,            0.021329,            0.034302,                   0,           0.0001585,           0.0001585,           0.0001585
                  53,            0.023562,            0.034738,                   0,             0.98125,             0.96727,             0.99143,             0.74013,            0.021293,            0.034269,                   0,            0.000142,            0.000142,            0.000142
                  54,            0.023488,            0.034769,                   0,             0.97945,             0.96837,             0.99142,              0.7405,            0.021251,            0.034209,                   0,           0.0001255,           0.0001255,           0.0001255
                  55,            0.023384,            0.034312,                   0,             0.98069,             0.96775,             0.99157,             0.74035,            0.021259,            0.034205,                   0,            0.000109,            0.000109,            0.000109
                  56,            0.023405,            0.034568,                   0,             0.97903,             0.96952,             0.99169,              0.7418,            0.021186,              0.0342,                   0,            9.25e-05,            9.25e-05,            9.25e-05
                  57,            0.023347,            0.034153,                   0,             0.98349,             0.96498,             0.99168,              0.7423,            0.021164,             0.03413,                   0,             7.6e-05,             7.6e-05,             7.6e-05
                  58,            0.023221,            0.034215,                   0,             0.98236,             0.96557,             0.99164,             0.74209,            0.021157,            0.034133,                   0,            5.95e-05,            5.95e-05,            5.95e-05
                  59,            0.023114,            0.033903,                   0,             0.98319,             0.96532,             0.99166,             0.74212,            0.021179,            0.034127,                   0,             4.3e-05,             4.3e-05,             4.3e-05
