               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.029682,            0.040168,                   0,              0.9673,             0.94709,             0.98064,             0.62044,            0.027433,            0.040069,                   0,           0.0006337,           0.0006337,           0.0006337
                  39,            0.029505,             0.03963,                   0,             0.97245,             0.94455,             0.98272,             0.64232,            0.026338,             0.03979,                   0,           0.0006238,           0.0006238,           0.0006238
                  40,            0.029592,            0.040954,                   0,             0.96978,             0.94607,             0.98093,             0.64509,             0.02632,            0.039315,                   0,           0.0006139,           0.0006139,           0.0006139
                  41,             0.02955,            0.040006,                   0,             0.97184,             0.94722,             0.98133,             0.65143,            0.026273,            0.039437,                   0,            0.000604,            0.000604,            0.000604
                  42,            0.029049,            0.039103,                   0,              0.9722,             0.94646,             0.98308,             0.65036,            0.026194,            0.039373,                   0,           0.0005941,           0.0005941,           0.0005941
                  43,            0.028753,            0.039184,                   0,              0.9722,             0.94608,             0.98277,             0.66398,             0.02536,            0.038979,                   0,           0.0005842,           0.0005842,           0.0005842
                  44,            0.029057,             0.03925,                   0,             0.97114,             0.95046,             0.98372,             0.65847,            0.025915,            0.039124,                   0,           0.0005743,           0.0005743,           0.0005743
                  45,            0.028616,            0.039739,                   0,             0.97258,             0.94622,             0.98268,              0.6629,            0.025473,            0.039196,                   0,           0.0005644,           0.0005644,           0.0005644
                  46,            0.028587,             0.03929,                   0,             0.97287,             0.94627,             0.98253,             0.66337,             0.02558,            0.039063,                   0,           0.0005545,           0.0005545,           0.0005545
                  47,            0.028403,            0.038142,                   0,             0.97467,             0.94817,             0.98348,              0.6686,            0.025289,            0.038752,                   0,           0.0005446,           0.0005446,           0.0005446
                  48,            0.028509,            0.039058,                   0,             0.97193,             0.94779,             0.98286,             0.65973,            0.025706,             0.03888,                   0,           0.0005347,           0.0005347,           0.0005347
                  49,            0.028285,             0.03854,                   0,             0.97251,             0.95035,             0.98362,             0.66886,            0.025497,            0.038598,                   0,           0.0005248,           0.0005248,           0.0005248
                  50,            0.028548,            0.038689,                   0,             0.97477,             0.94684,             0.98373,             0.66707,            0.025262,            0.038675,                   0,           0.0005149,           0.0005149,           0.0005149
                  51,            0.028346,            0.038308,                   0,             0.97384,             0.95141,             0.98495,              0.6726,             0.02504,            0.038422,                   0,            0.000505,            0.000505,            0.000505
                  52,            0.028178,            0.039311,                   0,             0.97132,             0.95512,             0.98544,             0.66766,            0.025183,            0.038123,                   0,           0.0004951,           0.0004951,           0.0004951
                  53,            0.028145,             0.03886,                   0,             0.96962,             0.95497,             0.98461,             0.67577,            0.024757,            0.038169,                   0,           0.0004852,           0.0004852,           0.0004852
                  54,            0.027969,            0.038725,                   0,             0.97463,              0.9516,             0.98437,             0.67365,             0.02515,            0.038451,                   0,           0.0004753,           0.0004753,           0.0004753
                  55,            0.027844,            0.038567,                   0,             0.96899,             0.95522,              0.9854,             0.65951,            0.025318,            0.038382,                   0,           0.0004654,           0.0004654,           0.0004654
                  56,            0.027899,            0.039421,                   0,             0.97297,             0.95344,             0.98526,              0.6794,            0.024619,            0.037924,                   0,           0.0004555,           0.0004555,           0.0004555
                  57,             0.02803,            0.038979,                   0,             0.97491,             0.95217,             0.98539,             0.66611,            0.025179,            0.038332,                   0,           0.0004456,           0.0004456,           0.0004456
                  58,            0.027453,            0.037903,                   0,              0.9754,             0.95192,             0.98555,             0.67928,            0.024682,            0.038124,                   0,           0.0004357,           0.0004357,           0.0004357
                  59,              0.0276,            0.038514,                   0,             0.97326,             0.95696,             0.98615,             0.67059,            0.025062,            0.038237,                   0,           0.0004258,           0.0004258,           0.0004258
