               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.024042,            0.035241,                   0,             0.98234,             0.96704,             0.99098,             0.73411,            0.020635,             0.03507,                   0,          0.00081685,          0.00081685,          0.00081685
                  39,            0.023932,            0.034826,                   0,              0.9798,             0.96589,             0.99122,             0.73615,            0.020658,            0.034794,                   0,           0.0008119,           0.0008119,           0.0008119
                  40,             0.02395,            0.034771,                   0,             0.98248,             0.96742,              0.9911,             0.73859,            0.020534,            0.034591,                   0,          0.00080695,          0.00080695,          0.00080695
                  41,            0.023838,            0.035015,                   0,             0.98068,             0.96913,              0.9916,              0.7401,            0.020331,            0.034417,                   0,            0.000802,            0.000802,            0.000802
                  42,            0.023798,            0.035075,                   0,             0.98148,             0.96924,             0.99152,             0.74127,            0.020355,            0.034303,                   0,          0.00079705,          0.00079705,          0.00079705
                  43,            0.023437,            0.034577,                   0,             0.97945,             0.97187,             0.99148,             0.74397,            0.020259,             0.03428,                   0,           0.0007921,           0.0007921,           0.0007921
                  44,            0.023565,            0.034535,                   0,             0.98132,              0.9708,             0.99132,             0.74182,            0.020254,            0.034361,                   0,          0.00078715,          0.00078715,          0.00078715
                  45,            0.023349,            0.034226,                   0,             0.98149,             0.96977,             0.99115,             0.74262,             0.02025,            0.034357,                   0,           0.0007822,           0.0007822,           0.0007822
                  46,            0.023378,            0.034434,                   0,             0.98084,             0.97085,             0.99132,             0.74592,            0.020001,            0.034068,                   0,          0.00077725,          0.00077725,          0.00077725
                  47,            0.023235,            0.033967,                   0,             0.98223,             0.96905,             0.99133,             0.74384,            0.020153,            0.034233,                   0,           0.0007723,           0.0007723,           0.0007723
                  48,            0.023015,            0.034207,                   0,             0.98182,             0.97046,             0.99187,             0.74729,            0.020038,             0.03409,                   0,          0.00076735,          0.00076735,          0.00076735
                  49,            0.023241,            0.034043,                   0,              0.9806,             0.97263,             0.99157,             0.74766,            0.020046,            0.033959,                   0,           0.0007624,           0.0007624,           0.0007624
                  50,            0.023163,            0.034276,                   0,             0.98076,             0.97161,              0.9917,             0.74742,            0.019933,            0.033942,                   0,          0.00075745,          0.00075745,          0.00075745
                  51,            0.022893,            0.033865,                   0,             0.98286,             0.97227,             0.99217,             0.74883,            0.019887,             0.03381,                   0,           0.0007525,           0.0007525,           0.0007525
                  52,             0.02301,            0.033884,                   0,             0.98324,             0.97241,             0.99206,             0.74945,            0.019879,            0.033759,                   0,          0.00074755,          0.00074755,          0.00074755
                  53,            0.022839,            0.033871,                   0,             0.98341,             0.97275,             0.99211,             0.75051,            0.019826,            0.033764,                   0,           0.0007426,           0.0007426,           0.0007426
                  54,            0.022829,            0.033566,                   0,             0.98306,             0.97287,             0.99218,             0.75239,            0.019734,            0.033706,                   0,          0.00073765,          0.00073765,          0.00073765
                  55,            0.022881,            0.034203,                   0,             0.98225,             0.97389,             0.99221,              0.7535,            0.019744,            0.033743,                   0,           0.0007327,           0.0007327,           0.0007327
                  56,            0.022769,            0.033837,                   0,             0.97974,             0.97752,             0.99219,             0.75383,            0.019708,            0.033753,                   0,          0.00072775,          0.00072775,          0.00072775
                  57,              0.0225,             0.03316,                   0,             0.98099,             0.97542,             0.99199,             0.75394,            0.019656,            0.033652,                   0,           0.0007228,           0.0007228,           0.0007228
                  58,            0.022399,            0.032882,                   0,             0.98158,             0.97454,             0.99209,             0.75385,            0.019652,            0.033649,                   0,          0.00071785,          0.00071785,          0.00071785
